size,mem0_us,mem1_us,mem1_over_mem0
geomean_ratio,,,1.7720859786526955
1,28.681,29.881,1.0418395453436073
2,28.177,29.886,1.0606523050715122
4,27.91,29.785,1.0671802221426012
8,28.092,30.008,1.068204471023779
16,28.036,29.949,1.0682336995291768
32,27.682,29.68,1.0721768658333937
64,27.92,30.044,1.0760744985673352
128,28.329,31.357,1.1068869356489817
256,28.194,32.796,1.1632262183443285
512,29.004,34.582,1.1923183009240104
1024,29.984,39.347,1.3122665421558164
2048,32.984,47.551,1.4416383701188455
4096,37.124,64.61,1.7403835793556728
8192,45.473,98.526,2.1666923229168957
16384,64.299,166.25,2.585576758581004
32768,99.076,298.678,3.014635229520772
65536,169.326,566.325,3.3445838205591585
131072,313.502,1085.047,3.4610528800454223
262144,592.687,2134.012,3.6005716339315694
524288,1153.383,4233.885,3.6708404753668122
1048576,2272.923,8441.444,3.7139155175956247
2097152,4347.795,16908.363,3.8889512960017667
